,Date,FB,TWTR,NFLX
811,2017-01-30,130.979996,16.940001000000002,141.220001
812,2017-01-31,130.320007,17.620001000000006,140.71000700000002
813,2017-02-01,133.229996,17.24,140.779999
814,2017-02-02,130.839996,17.780001000000006,139.199997
815,2017-02-03,130.979996,17.610001,140.25
816,2017-02-06,132.059998,17.93,140.970001
817,2017-02-07,131.839996,18.26,144.0
818,2017-02-08,134.199997,18.719999,144.740005
819,2017-02-09,134.139999,16.41,144.139999
820,2017-02-10,134.190002,15.58,144.820007
821,2017-02-13,134.050003,15.81,143.199997
822,2017-02-14,133.850006,16.52,140.820007
823,2017-02-15,133.440002,16.74,142.270004
824,2017-02-16,133.839996,16.35,142.009995
825,2017-02-17,133.529999,16.620001000000002,142.220001
826,2017-02-21,133.720001,16.42,142.600006
827,2017-02-22,136.119995,16.08,143.860001
828,2017-02-23,135.360001,16.030001000000002,142.779999
829,2017-02-24,135.440002,15.98,143.25
830,2017-02-27,136.410004,16.059998999999998,143.410004
831,2017-02-28,135.53999299999998,15.77,142.130005
832,2017-03-01,137.419998,15.79,142.649994
833,2017-03-02,136.759995,15.79,139.529999
834,2017-03-03,137.169998,15.75,139.139999
835,2017-03-06,137.419998,15.56,141.940002
836,2017-03-07,137.300003,15.18,141.429993
837,2017-03-08,137.720001,15.24,140.320007
838,2017-03-09,138.240005,15.22,140.529999
839,2017-03-10,138.78999299999998,15.12,140.889999
840,2017-03-13,139.600006,15.21,143.520004
841,2017-03-14,139.320007,15.32,143.190002
842,2017-03-15,139.720001,15.03,145.25
843,2017-03-16,139.990005,15.19,144.389999
844,2017-03-17,139.839996,15.08,145.110001
845,2017-03-20,139.940002,15.09,145.830002
846,2017-03-21,138.509995,14.54,142.419998
847,2017-03-22,139.589996,14.98,142.649994
848,2017-03-23,139.529999,14.93,141.839996
849,2017-03-24,140.339996,15.14,142.020004
850,2017-03-27,140.320007,14.99,144.059998
851,2017-03-28,141.759995,14.94,145.169998
852,2017-03-29,142.649994,15.04,146.470001
853,2017-03-30,142.410004,14.92,148.059998
854,2017-03-31,142.050003,14.95,147.809998
855,2017-04-03,142.279999,14.84,146.919998
856,2017-04-04,141.729996,14.69,145.5
857,2017-04-05,141.850006,14.53,143.619995
858,2017-04-06,141.169998,14.39,143.740005
859,2017-04-07,140.779999,14.29,143.110001
860,2017-04-10,141.03999299999995,14.36,143.850006
861,2017-04-11,139.919998,14.31,144.350006
862,2017-04-12,139.580002,14.42,143.830002
863,2017-04-13,139.389999,14.3,142.919998
864,2017-04-17,141.419998,14.4,147.25
865,2017-04-18,140.96000700000005,14.44,143.360001
866,2017-04-19,142.270004,14.54,139.759995
867,2017-04-20,143.800003,14.65,141.179993
868,2017-04-21,143.679993,14.63,142.869995
869,2017-04-24,145.470001,14.71,143.830002
870,2017-04-25,146.490005,14.66,152.160004
871,2017-04-26,146.559998,15.82,150.169998
872,2017-04-27,147.699997,16.610001,153.080002
873,2017-04-28,150.25,16.48,152.199997
874,2017-05-01,152.46000700000005,17.540001,155.350006
875,2017-05-02,152.779999,18.24,156.449997
876,2017-05-03,151.800003,18.57,155.589996
877,2017-05-04,150.850006,18.48,157.25
878,2017-05-05,150.240005,18.690001,156.600006
879,2017-05-08,151.059998,18.309999,156.380005
880,2017-05-09,150.479996,18.370001,157.46000700000005
881,2017-05-10,150.28999299999995,18.540001,160.279999
882,2017-05-11,150.03999299999995,18.389999,158.53999299999995
883,2017-05-12,150.330002,18.610001,160.809998
884,2017-05-15,150.190002,19.23,160.020004
885,2017-05-16,149.779999,19.49,159.410004
886,2017-05-17,144.850006,18.280001,153.199997
887,2017-05-18,147.660004,18.51,155.699997
888,2017-05-19,148.059998,18.35,157.020004
889,2017-05-22,148.240005,18.43,157.160004
890,2017-05-23,148.070007,18.15,157.949997
891,2017-05-24,150.03999299999995,17.98,157.75
892,2017-05-25,151.96000700000005,17.950001,163.050003
893,2017-05-26,152.130005,18.23,162.429993
894,2017-05-30,152.380005,18.43,163.220001
895,2017-05-31,151.46000700000005,18.32,163.070007
896,2017-06-01,151.529999,18.530001,162.990005
897,2017-06-02,153.610001,18.309999,165.179993
898,2017-06-05,153.630005,18.23,165.059998
899,2017-06-06,152.809998,17.57,165.169998
900,2017-06-07,153.119995,17.440001000000002,165.610001
901,2017-06-08,154.71000700000005,17.59,165.880005
902,2017-06-09,149.600006,16.9,158.029999
903,2017-06-12,148.440002,17.040001,151.440002
904,2017-06-13,150.679993,16.969998999999998,152.720001
905,2017-06-14,150.25,16.76,152.199997
906,2017-06-15,149.800003,16.83,151.759995
907,2017-06-16,150.639999,16.67,152.380005
908,2017-06-19,152.869995,17.059998999999998,153.399994
909,2017-06-20,152.25,16.91,152.050003
910,2017-06-21,153.910004,17.780001000000006,155.029999
911,2017-06-22,153.399994,18.15,154.889999
912,2017-06-23,155.070007,18.5,158.020004
913,2017-06-26,153.589996,18.290001,157.5
914,2017-06-27,150.580002,18.120001,151.029999
915,2017-06-28,153.240005,17.950001,153.410004
916,2017-06-29,151.03999299999995,17.65,150.089996
917,2017-06-30,150.979996,17.870001000000006,149.410004
918,2017-07-03,148.429993,17.65,146.169998
919,2017-07-05,150.339996,17.82,147.610001
920,2017-07-06,148.820007,17.92,146.25
921,2017-07-07,151.440002,18.02,150.179993
922,2017-07-10,153.5,18.08,152.669998
923,2017-07-11,155.270004,18.639999,154.330002
924,2017-07-12,158.899994,19.25,158.75
925,2017-07-13,159.259995,19.32,158.21000700000005
926,2017-07-14,159.970001,19.639999,161.119995
927,2017-07-17,159.729996,19.940001,161.699997
928,2017-07-18,162.860001,19.98,183.600006
929,2017-07-19,164.139999,20.120001,183.860001
930,2017-07-20,164.529999,20.530001,183.600006
